"EventID","EventType","StartDateTime","EndDateTime","EnteredOn","EventAgency","ParkingHeld","Borough","CommunityBoard(s)","PolicePrecinct(s)","Category","SubCategoryName","Country","ZipCode(s)"
"888350","Theater Load in and Load Outs","09/09/2025 12:01:00 PM","09/09/2025 11:59:00 PM","09/07/2025 03:10:47 PM","Mayor's Office of Media & Entertainment","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET","Brooklyn","1,","94,","Theater","Theater","United States of America","11222,"
"888048","Shooting Permit","09/08/2025 08:00:00 AM","09/08/2025 06:00:00 PM","09/05/2025 01:18:34 PM","Mayor's Office of Media & Entertainment","MAIN STREET between PLYMOUTH STREET and WATER STREET","Brooklyn","1, 2,","84, 90,","Film","Short","United States of America","11201, 11211,"
"887891","Shooting Permit","09/07/2025 07:00:00 AM","09/07/2025 09:00:00 PM","09/04/2025 05:50:29 PM","Mayor's Office of Media & Entertainment","EAST   32 STREET between 3 AVENUE and LEXINGTON AVENUE","Manhattan","6,","17,","Television","Cable-other","United States of America","10016,"
"887889","Shooting Permit","09/08/2025 09:00:00 AM","09/09/2025 02:00:00 AM","09/04/2025 05:39:12 PM","Mayor's Office of Media & Entertainment","GARDNER AVENUE between JOHNSON AVENUE and INGRAHAM STREET,  INGRAHAM STREET between GARDNER AVENUE and STEWART AVENUE","Brooklyn","1,","90,","Film","Feature","United States of America","11237,"
"887816","Shooting Permit","09/07/2025 07:00:00 AM","09/08/2025 11:00:00 PM","09/04/2025 03:11:27 PM","Mayor's Office of Media & Entertainment","WEST   45 STREET between 7 AVENUE and 8 AVENUE","Manhattan","5,","14, 18,","Commercial","Commercial","United States of America","10036,"
"887763","Shooting Permit","09/05/2025 07:00:00 AM","09/05/2025 07:00:00 PM","09/04/2025 01:46:03 PM","Mayor's Office of Media & Entertainment","NORTH HENRY STREET between MESEROLE AVENUE and NORMAN AVENUE","Brooklyn","1,","94,","Television","Episodic series","United States of America","11222,"
"887755","Shooting Permit","09/08/2025 07:00:00 AM","09/08/2025 09:00:00 PM","09/04/2025 01:30:57 PM","Mayor's Office of Media & Entertainment","WEST   44 STREET between 5 AVENUE and 6 AVENUE,  WEST   45 STREET between 5 AVENUE and 6 AVENUE,  WEST   43 STREET between 5 AVENUE and 6 AVENUE,  EAST   44 STREET between 5 AVENUE and MADISON AVENUE,  EAST   45 STREET between MADISON AVENUE and 5 AVENUE,  WEST   45 STREET between 5 AVENUE and 6 AVENUE","Manhattan","5,","14, 18,","Television","Episodic series","United States of America","10017, 10036,"
"887734","Shooting Permit","09/08/2025 06:00:00 AM","09/08/2025 08:00:00 PM","09/04/2025 01:02:06 PM","Mayor's Office of Media & Entertainment","BROADWAY between EAST   18 STREET and EAST   19 STREET,  EAST   21 STREET between BROADWAY and PARK AVENUE SOUTH,  EAST   21 STREET between BROADWAY and PARK AVENUE SOUTH,  EAST   20 STREET between BROADWAY and 5 AVENUE,  EAST   18 STREET between BROADWAY and 5 AVENUE,  EAST   18 STREET between BROADWAY and PARK AVENUE SOUTH,  EAST   19 STREET between 5 AVENUE and BROADWAY,  EAST   20 STREET between BROADWAY and PARK AVENUE SOUTH,  EAST   19 STREET between BROADWAY and PARK AVENUE SOUTH,  PARK AVENUE SOUTH between EAST   20 STREET and EAST   17 STREET","Manhattan","5,","13,","Television","Episodic series","United States of America","10003, 10010,"
"887677","Shooting Permit","09/06/2025 09:00:00 AM","09/06/2025 06:00:00 PM","09/04/2025 11:06:54 AM","Mayor's Office of Media & Entertainment","WEST HOUSTON STREET between MACDOUGAL STREET and THOMPSON STREET,  THOMPSON STREET between SPRING STREET and PRINCE STREET","Manhattan","2,","1, 6,","Commercial","Promo","United States of America","10012, 10014,"
"887675","Shooting Permit","09/07/2025 08:00:00 AM","09/08/2025 12:00:00 PM","09/04/2025 11:04:39 AM","Mayor's Office of Media & Entertainment","37 STREET between 5 AVENUE and 4 AVENUE","Brooklyn","7,","72,","Commercial","Commercial","United States of America","11232,"
