eventid,eventtype,start_year,start_month,start_day,end_year,end_month,end_day,eventagency,borough,category,subcategoryname,zipcode,zip_count_by_year,zip_count_by_month,zip_count_total
754394,Shooting Permit,2023,12,29,2023,12,29,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11101,376,36,7113
754394,Shooting Permit,2023,12,29,2023,12,29,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
754181,Shooting Permit,2023,12,28,2023,12,28,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
754156,Shooting Permit,2023,12,29,2023,12,30,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11433,4,2,34
754156,Shooting Permit,2023,12,29,2023,12,30,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11435,2,2,145
754155,Shooting Permit,2023,12,28,2023,12,28,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
754135,Shooting Permit,2023,12,27,2023,12,27,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
754135,Shooting Permit,2023,12,27,2023,12,27,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11222,607,61,9543
754085,Shooting Permit,2023,12,25,2023,12,25,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
754085,Shooting Permit,2023,12,25,2023,12,25,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
754083,Shooting Permit,2023,12,24,2023,12,24,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
754083,Shooting Permit,2023,12,24,2023,12,24,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
754077,Shooting Permit,2023,12,27,2023,12,27,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
754001,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753990,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753974,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11222,607,61,9543
753974,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11377,12,2,270
753974,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11378,18,8,503
753952,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753915,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
753903,Shooting Permit,2023,12,22,2023,12,23,Mayor's Office of Media & Entertainment,Queens,Television,Cable-episodic,11101,376,36,7113
753860,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
753860,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11106,29,3,1877
753810,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11373,6,3,124
753800,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753796,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10023,78,8,1593
753796,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10024,49,6,880
753796,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,WEB,Not Applicable,10028,36,4,493
753769,Shooting Permit,2023,12,24,2023,12,24,Mayor's Office of Media & Entertainment,Bronx,Film,Short,10475,1,1,21
753752,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10013,244,14,3065
753751,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11373,6,3,124
753727,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11385,123,1,1985
753649,Shooting Permit,2023,12,21,2023,12,22,Mayor's Office of Media & Entertainment,Queens,Television,Cable-episodic,11101,376,36,7113
753640,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10010,44,3,1336
753640,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10016,63,12,1155
753639,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Manhattan,Television,Episodic series,10025,35,4,742
753634,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753613,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753529,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10036,332,23,4309
753529,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Manhattan,Television,News,10105,217,11,1013
753526,Shooting Permit,2023,12,21,2023,12,21,Mayor's Office of Media & Entertainment,Manhattan,Commercial,Promo,10033,23,4,382
753525,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Manhattan,Commercial,Promo,10033,23,4,382
753522,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11104,6,1,257
753522,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11377,12,2,270
753521,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Bronx,Television,Cable-episodic,10462,2,1,46
753521,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Bronx,Television,Cable-episodic,10471,8,1,149
753521,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Bronx,Television,Cable-episodic,10472,2,1,31
753516,Shooting Permit,2023,12,20,2023,12,21,Mayor's Office of Media & Entertainment,Brooklyn,Film,Feature,11206,36,6,1005
753515,Shooting Permit,2023,12,19,2023,12,20,Mayor's Office of Media & Entertainment,Brooklyn,Film,Feature,11206,36,6,1005
753514,Shooting Permit,2023,12,18,2023,12,19,Mayor's Office of Media & Entertainment,Brooklyn,Film,Feature,11206,36,6,1005
753513,Shooting Permit,2023,12,17,2023,12,18,Mayor's Office of Media & Entertainment,Brooklyn,Film,Feature,11206,36,6,1005
753484,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,Film,Short,10009,42,2,699
753484,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,Film,Short,11216,28,1,524
753484,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Manhattan,Film,Short,11435,2,2,145
753474,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Brooklyn,Television,Episodic series,11222,607,61,9543
753472,Shooting Permit,2023,12,18,2023,12,18,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11357,12,1,232
753463,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11373,6,3,124
753454,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
753454,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11222,607,61,9543
753450,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11222,607,61,9543
753450,Shooting Permit,2023,12,20,2023,12,20,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11378,18,8,503
753449,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,10002,154,4,2217
753449,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,10016,63,12,1155
753449,Shooting Permit,2023,12,17,2023,12,17,Mayor's Office of Media & Entertainment,Brooklyn,Film,Short,11217,42,1,1450
753437,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11105,36,9,557
753437,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11370,5,1,59
753437,Shooting Permit,2023,12,16,2023,12,16,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11371,2,1,3
753413,Shooting Permit,2023,12,20,2023,12,21,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10021,57,2,873
753411,Shooting Permit,2023,12,19,2023,12,19,Mayor's Office of Media & Entertainment,Manhattan,Television,Cable-episodic,10013,244,14,3065
753410,Shooting Permit,2023,12,22,2023,12,22,Mayor's Office of Media & Entertainment,Queens,Television,Episodic series,11101,376,36,7113
