GEOID,NAME,B25064_001,year
35004,ZCTA5 35004,1021,2013
35005,ZCTA5 35005,739,2013
35006,ZCTA5 35006,818,2013
35007,ZCTA5 35007,1015,2013
35010,ZCTA5 35010,574,2013
35013,ZCTA5 35013,458,2013
35014,ZCTA5 35014,813,2013
35016,ZCTA5 35016,593,2013
35019,ZCTA5 35019,498,2013
35020,ZCTA5 35020,657,2013
35022,ZCTA5 35022,878,2013
35023,ZCTA5 35023,763,2013
35031,ZCTA5 35031,582,2013
35032,ZCTA5 35032,NA,2013
35033,ZCTA5 35033,954,2013
35034,ZCTA5 35034,391,2013
35035,ZCTA5 35035,NA,2013
35036,ZCTA5 35036,373,2013
35040,ZCTA5 35040,1017,2013
35042,ZCTA5 35042,492,2013
35043,ZCTA5 35043,1236,2013
35044,ZCTA5 35044,401,2013
35045,ZCTA5 35045,545,2013
35046,ZCTA5 35046,724,2013
35049,ZCTA5 35049,773,2013
35051,ZCTA5 35051,703,2013
35052,ZCTA5 35052,NA,2013
35053,ZCTA5 35053,664,2013
35054,ZCTA5 35054,878,2013
35055,ZCTA5 35055,567,2013
35057,ZCTA5 35057,663,2013
35058,ZCTA5 35058,550,2013
35060,ZCTA5 35060,NA,2013
35061,ZCTA5 35061,1281,2013
35062,ZCTA5 35062,822,2013
35063,ZCTA5 35063,636,2013
35064,ZCTA5 35064,681,2013
35068,ZCTA5 35068,825,2013
35070,ZCTA5 35070,430,2013
35071,ZCTA5 35071,840,2013
35072,ZCTA5 35072,489,2013
35073,ZCTA5 35073,735,2013
35074,ZCTA5 35074,NA,2013
35077,ZCTA5 35077,613,2013
35078,ZCTA5 35078,731,2013
35079,ZCTA5 35079,708,2013
35080,ZCTA5 35080,1422,2013
35082,ZCTA5 35082,NA,2013
35083,ZCTA5 35083,715,2013
35085,ZCTA5 35085,717,2013
35087,ZCTA5 35087,NA,2013
35089,ZCTA5 35089,656,2013
35091,ZCTA5 35091,909,2013
35094,ZCTA5 35094,693,2013
35096,ZCTA5 35096,809,2013
35097,ZCTA5 35097,627,2013
35098,ZCTA5 35098,561,2013
35111,ZCTA5 35111,982,2013
35112,ZCTA5 35112,NA,2013
35114,ZCTA5 35114,835,2013
35115,ZCTA5 35115,715,2013
35116,ZCTA5 35116,768,2013
35117,ZCTA5 35117,1046,2013
35118,ZCTA5 35118,726,2013
35119,ZCTA5 35119,NA,2013
35120,ZCTA5 35120,761,2013
35121,ZCTA5 35121,578,2013
35124,ZCTA5 35124,1055,2013
35125,ZCTA5 35125,727,2013
35126,ZCTA5 35126,928,2013
35127,ZCTA5 35127,943,2013
35128,ZCTA5 35128,753,2013
35130,ZCTA5 35130,726,2013
35131,ZCTA5 35131,487,2013
35133,ZCTA5 35133,596,2013
35135,ZCTA5 35135,669,2013
35136,ZCTA5 35136,530,2013
35139,ZCTA5 35139,NA,2013
35143,ZCTA5 35143,622,2013
35146,ZCTA5 35146,653,2013
35147,ZCTA5 35147,1358,2013
35148,ZCTA5 35148,655,2013
35149,ZCTA5 35149,NA,2013
35150,ZCTA5 35150,577,2013
35151,ZCTA5 35151,584,2013
35160,ZCTA5 35160,549,2013
35171,ZCTA5 35171,693,2013
35172,ZCTA5 35172,446,2013
35173,ZCTA5 35173,1271,2013
35175,ZCTA5 35175,556,2013
35176,ZCTA5 35176,NA,2013
35178,ZCTA5 35178,514,2013
35179,ZCTA5 35179,634,2013
35180,ZCTA5 35180,609,2013
35183,ZCTA5 35183,NA,2013
35184,ZCTA5 35184,644,2013
35186,ZCTA5 35186,761,2013
35187,ZCTA5 35187,NA,2013
35188,ZCTA5 35188,666,2013
35203,ZCTA5 35203,647,2013
35204,ZCTA5 35204,575,2013
35205,ZCTA5 35205,685,2013
35206,ZCTA5 35206,740,2013
35207,ZCTA5 35207,541,2013
35208,ZCTA5 35208,801,2013
35209,ZCTA5 35209,860,2013
35210,ZCTA5 35210,791,2013
35211,ZCTA5 35211,716,2013
35212,ZCTA5 35212,609,2013
35213,ZCTA5 35213,1027,2013
35214,ZCTA5 35214,708,2013
35215,ZCTA5 35215,814,2013
35216,ZCTA5 35216,926,2013
35217,ZCTA5 35217,679,2013
35218,ZCTA5 35218,749,2013
35221,ZCTA5 35221,767,2013
35222,ZCTA5 35222,673,2013
35223,ZCTA5 35223,1016,2013
35224,ZCTA5 35224,881,2013
35226,ZCTA5 35226,1078,2013
35228,ZCTA5 35228,812,2013
35229,ZCTA5 35229,NA,2013
35233,ZCTA5 35233,982,2013
35234,ZCTA5 35234,593,2013
35235,ZCTA5 35235,977,2013
35242,ZCTA5 35242,933,2013
35243,ZCTA5 35243,1052,2013
35244,ZCTA5 35244,976,2013
35254,ZCTA5 35254,396,2013
35401,ZCTA5 35401,668,2013
35404,ZCTA5 35404,797,2013
35405,ZCTA5 35405,779,2013
35406,ZCTA5 35406,1123,2013
35441,ZCTA5 35441,610,2013
35442,ZCTA5 35442,393,2013
35443,ZCTA5 35443,289,2013
35444,ZCTA5 35444,599,2013
35446,ZCTA5 35446,688,2013
35447,ZCTA5 35447,519,2013
35452,ZCTA5 35452,681,2013
35453,ZCTA5 35453,700,2013
35456,ZCTA5 35456,682,2013
35457,ZCTA5 35457,NA,2013
35458,ZCTA5 35458,NA,2013
35459,ZCTA5 35459,529,2013
35460,ZCTA5 35460,588,2013
35461,ZCTA5 35461,583,2013
35462,ZCTA5 35462,428,2013
35463,ZCTA5 35463,1250,2013
35464,ZCTA5 35464,363,2013
35466,ZCTA5 35466,477,2013
35469,ZCTA5 35469,NA,2013
35470,ZCTA5 35470,608,2013
35473,ZCTA5 35473,817,2013
35474,ZCTA5 35474,676,2013
35475,ZCTA5 35475,1003,2013
35476,ZCTA5 35476,716,2013
35477,ZCTA5 35477,NA,2013
35480,ZCTA5 35480,NA,2013
35481,ZCTA5 35481,307,2013
35490,ZCTA5 35490,944,2013
35501,ZCTA5 35501,610,2013
35503,ZCTA5 35503,618,2013
35504,ZCTA5 35504,626,2013
35540,ZCTA5 35540,633,2013
35541,ZCTA5 35541,673,2013
35542,ZCTA5 35542,529,2013
35543,ZCTA5 35543,444,2013
35544,ZCTA5 35544,825,2013
35545,ZCTA5 35545,NA,2013
35546,ZCTA5 35546,387,2013
35548,ZCTA5 35548,303,2013
35549,ZCTA5 35549,393,2013
35550,ZCTA5 35550,494,2013
35552,ZCTA5 35552,345,2013
35553,ZCTA5 35553,464,2013
35554,ZCTA5 35554,533,2013
35555,ZCTA5 35555,457,2013
35559,ZCTA5 35559,NA,2013
35563,ZCTA5 35563,349,2013
35564,ZCTA5 35564,473,2013
35565,ZCTA5 35565,553,2013
35570,ZCTA5 35570,535,2013
35571,ZCTA5 35571,516,2013
35572,ZCTA5 35572,NA,2013
35574,ZCTA5 35574,422,2013
35575,ZCTA5 35575,491,2013
35576,ZCTA5 35576,522,2013
35577,ZCTA5 35577,NA,2013
35578,ZCTA5 35578,667,2013
35579,ZCTA5 35579,805,2013
35580,ZCTA5 35580,581,2013
35581,ZCTA5 35581,514,2013
35582,ZCTA5 35582,459,2013
35584,ZCTA5 35584,575,2013
35585,ZCTA5 35585,505,2013
35586,ZCTA5 35586,405,2013
35587,ZCTA5 35587,NA,2013
35592,ZCTA5 35592,463,2013
