GEOID,NAME,B11001_001,year
10140,"Aberdeen, WA Micro Area",27759,2009
10180,"Abilene, TX Metro Area",58052,2009
10300,"Adrian, MI Micro Area",36835,2009
10380,"Aguadilla-Isabela-San Sebasti?n, PR Metro Area",91805,2009
10420,"Akron, OH Metro Area",281769,2009
10500,"Albany, GA Metro Area",60101,2009
10540,"Albany-Lebanon, OR Micro Area",43953,2009
10580,"Albany-Schenectady-Troy, NY Metro Area",336492,2009
10700,"Albertville, AL Micro Area",32651,2009
10740,"Albuquerque, NM Metro Area",334647,2009
10780,"Alexandria, LA Metro Area",56272,2009
10880,"Allegan, MI Micro Area",41660,2009
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",306116,2009
11020,"Altoona, PA Metro Area",53155,2009
11100,"Amarillo, TX Metro Area",88271,2009
11180,"Ames, IA Metro Area",32434,2009
11260,"Anchorage, AK Metro Area",126818,2009
11300,"Anderson, IN Metro Area",51043,2009
11340,"Anderson, SC Metro Area",73101,2009
11460,"Ann Arbor, MI Metro Area",134142,2009
11500,"Anniston-Oxford, AL Metro Area",46535,2009
11540,"Appleton, WI Metro Area",86531,2009
11700,"Asheville, NC Metro Area",172316,2009
11780,"Ashtabula, OH Micro Area",37998,2009
11980,"Athens, TX Micro Area",30963,2009
12020,"Athens-Clarke County, GA Metro Area",64907,2009
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1885202,2009
12100,"Atlantic City-Hammonton, NJ Metro Area",101681,2009
12180,"Auburn, NY Micro Area",32470,2009
12220,"Auburn-Opelika, AL Metro Area",56150,2009
12260,"Augusta-Richmond County, GA-SC Metro Area",201260,2009
12300,"Augusta-Waterville, ME Micro Area",52054,2009
12420,"Austin-Round Rock, TX Metro Area",614047,2009
12540,"Bakersfield, CA Metro Area",241764,2009
12580,"Baltimore-Towson, MD Metro Area",1005051,2009
12620,"Bangor, ME Metro Area",61911,2009
12700,"Barnstable Town, MA Metro Area",99904,2009
12940,"Baton Rouge, LA Metro Area",294764,2009
12980,"Battle Creek, MI Metro Area",54528,2009
