CBSA,new_housing_units_permitted,year
10180,214,2009
10420,741,2009
10500,213,2009
10580,1380,2009
10740,1692,2009
10780,396,2009
10900,1648,2009
11020,125,2009
11100,642,2009
11180,122,2009
11260,551,2009
11300,69,2009
11340,280,2009
11460,253,2009
11500,194,2009
11540,517,2009
11700,1465,2009
12020,297,2009
12060,6533,2009
12100,512,2009
12220,1253,2009
12260,2277,2009
12420,8758,2009
12540,1777,2009
12580,5115,2009
12620,366,2009
12700,377,2009
12940,2921,2009
12980,36,2009
13020,68,2009
13140,2129,2009
13380,460,2009
13460,376,2009
13740,529,2009
13780,205,2009
13820,1807,2009
13900,515,2009
13980,410,2009
14020,306,2009
14060,502,2009
14260,1904,2009
14460,5476,2009
14500,345,2009
14540,353,2009
14600,1763,2009
14740,562,2009
14860,1199,2009
15180,1105,2009
15260,394,2009
15380,1367,2009
15500,561,2009
15540,593,2009
15940,360,2009
15980,944,2009
16020,154,2009
16180,18,2009
16220,412,2009
16300,1200,2009
16580,520,2009
16620,356,2009
16700,2949,2009
16740,7091,2009
16820,666,2009
16860,1126,2009
16940,387,2009
16980,6097,2009
17020,360,2009
17140,3515,2009
17300,1458,2009
17420,351,2009
17460,2069,2009
17660,861,2009
17780,836,2009
17820,1369,2009
17860,632,2009
17900,3498,2009
17980,1208,2009
18020,125,2009
18140,4059,2009
18580,1150,2009
18700,96,2009
19060,199,2009
19100,20370,2009
19140,138,2009
19180,10,2009
19260,127,2009
19340,727,2009
19380,848,2009
19460,93,2009
19500,93,2009
19660,666,2009
19740,4112,2009
19780,2478,2009
19820,1333,2009
20020,337,2009
20100,806,2009
20220,435,2009
20260,552,2009
20500,2657,2009
20740,421,2009
20940,196,2009
21340,3191,2009
21060,460,2009
21140,185,2009
21300,72,2009
21500,473,2009
21660,616,2009
21780,718,2009
21820,34,2009
22020,1678,2009
22140,234,2009
22180,2664,2009
22220,1751,2009
22380,482,2009
22420,149,2009
22500,349,2009
22520,181,2009
22540,204,2009
22660,451,2009
22900,894,2009
23020,410,2009
23060,884,2009
23420,2228,2009
23460,128,2009
23540,529,2009
23580,239,2009
24020,325,2009
24140,259,2009
24220,325,2009
24300,365,2009
24340,792,2009
24500,187,2009
24540,761,2009
24580,837,2009
24660,2075,2009
24780,585,2009
24860,1541,2009
25060,2836,2009
25180,701,2009
25260,194,2009
25420,1522,2009
25500,620,2009
25540,1338,2009
25620,108,2009
25860,601,2009
25980,387,2009
26100,408,2009
26180,1036,2009
26300,38,2009
26380,555,2009
26420,27326,2009
26580,193,2009
26620,2988,2009
26820,324,2009
26900,5600,2009
26980,729,2009
27060,127,2009
27100,127,2009
27140,1188,2009
27180,253,2009
27260,4666,2009
27340,2136,2009
27500,213,2009
27620,313,2009
27740,505,2009
27780,94,2009
27860,446,2009
27900,218,2009
28020,401,2009
28100,96,2009
28140,3406,2009
28420,1091,2009
28660,2340,2009
28700,554,2009
28740,287,2009
28940,1927,2009
29020,81,2009
29100,349,2009
29140,486,2009
29180,827,2009
29340,1163,2009
29420,267,2009
29460,1135,2009
29540,1262,2009
29620,251,2009
29700,786,2009
29740,1139,2009
29820,5688,2009
29940,342,2009
30020,641,2009
30140,353,2009
30300,81,2009
30340,167,2009
30460,1633,2009
30620,64,2009
30700,728,2009
30780,3049,2009
30860,533,2009
30980,199,2009
31020,147,2009
31100,7281,2009
31140,2410,2009
31180,1031,2009
31340,727,2009
31420,304,2009
31460,120,2009
31540,1403,2009
31700,513,2009
31740,1001,2009
31860,263,2009
31900,73,2009
32580,3156,2009
32780,321,2009
32820,2034,2009
32900,99,2009
33100,3875,2009
33140,138,2009
33260,330,2009
33340,1427,2009
33460,4670,2009
33540,225,2009
33660,2635,2009
33700,364,2009
33740,276,2009
33780,80,2009
33860,467,2009
34060,48,2009
34100,219,2009
34580,290,2009
34620,44,2009
34740,93,2009
34820,1711,2009
34900,131,2009
34940,944,2009
34980,4933,2009
35300,509,2009
35380,2832,2009
35620,16707,2009
35660,120,2009
35980,427,2009
36100,394,2009
36140,428,2009
36220,220,2009
36260,1591,2009
36420,3452,2009
36500,1317,2009
36540,3464,2009
36740,4487,2009
36780,401,2009
36980,249,2009
37100,352,2009
37340,995,2009
37380,168,2009
37460,352,2009
37620,141,2009
37700,812,2009
37860,1042,2009
37900,578,2009
37980,7093,2009
38060,9272,2009
38220,89,2009
38300,3033,2009
38340,173,2009
38540,161,2009
38940,384,2009
38860,1207,2009
38900,4020,2009
39100,905,2009
39140,488,2009
39300,1437,2009
39340,1524,2009
39380,377,2009
39460,296,2009
39540,343,2009
39580,4894,2009
39660,450,2009
39740,400,2009
39820,243,2009
39900,773,2009
40060,3296,2009
40140,6335,2009
40220,449,2009
40340,570,2009
40380,1625,2009
40420,222,2009
40580,271,2009
40660,111,2009
40900,2710,2009
40980,116,2009
41420,835,2009
41500,194,2009
41540,325,2009
41620,4692,2009
41660,516,2009
41700,5924,2009
41740,2946,2009
41860,3550,2009
41940,1094,2009
42020,394,2009
41780,47,2009
42060,226,2009
42100,149,2009
42140,102,2009
42220,442,2009
42340,1605,2009
42540,708,2009
42660,7419,2009
42680,327,2009
43100,159,2009
43300,113,2009
43340,1264,2009
43580,205,2009
43620,1577,2009
43780,348,2009
43900,634,2009
44060,1786,2009
44100,392,2009
44140,629,2009
44180,1196,2009
44220,69,2009
41060,537,2009
41100,598,2009
41140,152,2009
41180,5162,2009
44300,338,2009
44700,792,2009
44940,417,2009
45060,1033,2009
45220,895,2009
45300,6962,2009
45460,130,2009
45500,302,2009
45780,669,2009
45820,489,2009
45940,269,2009
46060,2129,2009
46140,3340,2009
46220,689,2009
46340,209,2009
46540,414,2009
46660,897,2009
46700,586,2009
47020,106,2009
47220,262,2009
47260,5302,2009
47300,1097,2009
47380,674,2009
47580,715,2009
47900,12329,2009
47940,360,2009
48140,305,2009
48260,37,2009
48300,355,2009
48540,17,2009
48660,208,2009
48620,1876,2009
48700,118,2009
48900,1813,2009
49020,361,2009
49180,1166,2009
49340,1419,2009
49420,508,2009
49620,1173,2009
49660,318,2009
49700,171,2009
49740,749,2009
10180,390,2010
10420,736,2010
10500,248,2010
10580,1429,2010
10740,1764,2010
10780,434,2010
10900,1388,2010
11020,159,2010
11100,927,2010
11180,167,2010
11260,533,2010
11300,80,2010
11340,420,2010
11460,368,2010
11500,107,2010
11540,587,2010
11700,2038,2010
12020,226,2010
12060,7575,2010
12100,512,2010
12220,971,2010
12260,2474,2010
12420,8786,2010
12540,1656,2010
12580,5594,2010
12620,272,2010
12700,418,2010
12940,2962,2010
12980,33,2010
13020,54,2010
13140,1424,2010
13380,458,2010
13460,377,2010
13740,457,2010
13780,108,2010
13820,1924,2010
13900,650,2010
13980,268,2010
14020,263,2010
14060,427,2010
14260,1693,2010
14460,6672,2010
14500,657,2010
14540,573,2010
14740,623,2010
14860,926,2010
15180,1258,2010
15260,404,2010
15380,1498,2010
15500,847,2010
15540,585,2010
15940,452,2010
15980,1276,2010
16020,99,2010
16180,71,2010
16220,807,2010
16300,855,2010
16580,529,2010
16620,358,2010
16700,3060,2010
16740,5288,2010
16820,1105,2010
16860,1086,2010
16940,238,2010
16980,7267,2010
17020,512,2010
17140,3206,2010
17300,1921,2010
17420,550,2010
17460,1941,2010
17660,627,2010
17780,995,2010
17820,1760,2010
17860,607,2010
17900,2942,2010
17980,1384,2010
18020,131,2010
18140,4444,2010
18580,1225,2010
18700,93,2010
18880,547,2010
19060,161,2010
19100,19558,2010
19140,101,2010
19180,13,2010
19260,160,2010
19340,702,2010
19380,758,2010
19460,165,2010
19500,101,2010
19660,715,2010
19740,5042,2010
19780,2815,2010
19820,3210,2010
20020,321,2010
20100,813,2010
20220,548,2010
20260,486,2010
20500,1913,2010
20740,357,2010
20940,102,2010
21340,4549,2010
21060,1242,2010
21140,234,2010
21300,76,2010
21500,586,2010
21660,550,2010
21780,644,2010
21820,42,2010
22020,1318,2010
22140,273,2010
22180,3609,2010
22220,1221,2010
22380,315,2010
22420,78,2010
22500,476,2010
22520,232,2010
22540,229,2010
22660,1153,2010
22900,690,2010
23060,885,2010
23420,2248,2010
23460,105,2010
23540,490,2010
23580,184,2010
24020,279,2010
24140,279,2010
24220,200,2010
24300,408,2010
24340,843,2010
24500,150,2010
24540,863,2010
24580,1134,2010
24660,1903,2010
24780,678,2010
24860,1542,2010
25060,1744,2010
25180,699,2010
25260,265,2010
25420,1612,2010
25500,462,2010
25540,1279,2010
25620,74,2010
25860,448,2010
25980,111,2010
26100,434,2010
26180,1891,2010
26300,38,2010
26380,365,2010
26420,27452,2010
26580,248,2010
26620,2275,2010
26820,390,2010
26900,5921,2010
26980,553,2010
27060,153,2010
27100,63,2010
27140,1391,2010
27180,249,2010
27260,3606,2010
27340,2375,2010
27500,111,2010
27620,222,2010
27740,741,2010
27780,117,2010
27860,611,2010
27900,202,2010
28020,367,2010
28100,71,2010
28140,2714,2010
28420,2022,2010
28660,2241,2010
28700,464,2010
28740,334,2010
28940,2273,2010
29020,18,2010
29100,327,2010
29140,531,2010
29180,849,2010
29340,975,2010
29420,262,2010
29460,1200,2010
29540,1381,2010
29620,677,2010
29700,663,2010
29740,974,2010
29820,5474,2010
29940,288,2010
30020,326,2010
30140,240,2010
30300,75,2010
30340,206,2010
30460,1361,2010
30620,116,2010
30700,1032,2010
30780,3559,2010
30860,655,2010
30980,491,2010
31020,131,2010
31100,10394,2010
31140,2525,2010
31180,1451,2010
31340,700,2010
31420,368,2010
31460,192,2010
31540,1198,2010
31700,682,2010
31740,830,2010
31860,331,2010
31900,45,2010
32580,3552,2010
32780,373,2010
32820,2429,2010
32900,106,2010
33100,5877,2010
33140,228,2010
33260,394,2010
33340,1929,2010
33460,5726,2010
33540,368,2010
33660,1026,2010
33700,292,2010
33740,441,2010
33780,117,2010
33860,993,2010
34060,301,2010
34100,206,2010
34580,207,2010
34620,50,2010
34740,106,2010
34820,1508,2010
34900,110,2010
